cod_producto,producto,lineas_factura,cantidad_comprada,costo_unitario_factura,costo_factura,stock_actual,valor_stock_a_costo_factura,unidades_vendidas_desde,ventas_desde,facturas_venta_desde,dias_con_venta_desde,primera_venta_desde,ultima_venta_desde,dias_hasta_primera_venta,dias_sin_venta,unidades_30d,unidades_90d,unidades_365d,ventas_365d,sell_through_aparente,banda_sell_through,remanente_minimo_unidades,remanente_minimo_costo,unidades_compradas_despues,documentos_compra_despues,ultima_compra_despues,precio_venta_actual,ingreso_cohorte_estimado,utilidad_bruta_cohorte_estimada,margen_cohorte_estimado,estado_auditoria
MOTS1247,PASTILLA FRENO BWS FI DEJ OPP,1,1.0,12500.0,12500.0,-1.0,0.0,2.0,37000.0,2,2,2024-09-05 16:17:28,2025-01-07 10:13:08,40.0,611.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,0.0,0,,21000.0,18500.0,6000.0,0.32432432432432434,Stock negativo
TOR - 057,TORNILLO GOLOSO,1,33.0,260.0,8580.0,-2.0,0.0,33.0,16500.0,11,10,2024-08-03 12:08:11,2024-10-07 17:37:07,6.9,703.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,0.0,0,,500.0,16500.0,7920.0,0.48,Stock negativo
CHA - 067,CHAVETA COLOGA,1,11.0,500.0,5500.0,-2.0,0.0,11.0,9900.0,6,6,2024-08-09 11:10:23,2024-09-25 08:07:42,12.8,715.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,0.0,0,,900.0,9900.0,4400.0,0.4444444444444444,Stock negativo
MOTS1142,DIRECCIONAL CB 110AMBAR UM,1,1.0,5400.0,5400.0,-2.0,0.0,1.0,9000.0,1,1,2024-09-18 13:24:23,2024-09-18 13:24:23,52.9,722.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,0.0,0,,9000.0,9000.0,3600.0,0.4,Stock negativo
EMP - 007549,EMPAQUE EXOSTO BOXER / VIVAX / BAST SYK,1,1.0,800.0,800.0,-2.0,0.0,3.0,4500.0,2,2,2024-08-02 11:09:14,2024-10-31 09:18:32,5.8,679.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,0.0,0,,1500.0,1500.0,700.0,0.4666666666666667,Stock negativo
