cod_producto,producto,lineas_factura,cantidad_comprada,costo_unitario_factura,costo_factura,stock_actual,valor_stock_a_costo_factura,unidades_vendidas_desde,ventas_desde,facturas_venta_desde,dias_con_venta_desde,primera_venta_desde,ultima_venta_desde,dias_hasta_primera_venta,dias_sin_venta,unidades_30d,unidades_90d,unidades_365d,ventas_365d,sell_through_aparente,banda_sell_through,remanente_minimo_unidades,remanente_minimo_costo,unidades_compradas_despues,documentos_compra_despues,ultima_compra_despues,precio_venta_actual,ingreso_cohorte_estimado,utilidad_bruta_cohorte_estimada,margen_cohorte_estimado,estado_auditoria
902263,MANIGUETA DER CA 100 SPLENDOR JAPAN,2,10.0,6300.0,63000.0,3.0,18900.0,10.0,102500.0,10,10,2024-08-16 15:12:37,2025-03-28 17:26:23,20.0,523.0,0.0,0.0,0.0,0.0,1.0,100%,0.0,0.0,3.0,3,2025-03-06,9500.0,102500.0,39500.0,0.3853658536585366,"Con stock, sin ventas 365d"
TOR - 0472,TORNILLO BRISTOL 8 X60 TORNIFRENOS,2,14.0,573.4285714285714,8028.0,14.0,8028.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0%,14.0,8028.0,0.0,0,,1500.0,0.0,0.0,,Sin ventas desde compra
